DATA_MC|KOD_WOJ|NAME|PLEC|WIEK|KOD_UPRAWNIENIA|LICZBA
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|31|A1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|31|B1|20
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|31|B|20
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|31|A2|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|31|A|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|31|AM|20
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|32|AM|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|32|A|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|32|A2|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|32|B1|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|32|A1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|32|B|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|33|B+E|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|33|A1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|33|AM|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|33|A2|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|33|T|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|33|B1|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|33|A|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|33|B|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|34|A|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|34|A1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|34|C1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|34|AM|18
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|34|A2|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|34|B1|18
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|34|B|18
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|34|C|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|35|B|10
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|35|C|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|35|AM|11
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|35|B1|11
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|35|C1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|36|AM|17
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|36|A1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|36|B1|17
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|36|A|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|36|B|16
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|36|D1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|36|A2|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|36|D|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|37|A1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|37|B1|23
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|37|A2|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|37|AM|23
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|37|B|23
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|37|A|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|38|A2|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|38|A1|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|38|B1|14
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|38|A|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|38|AM|14
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|38|B|14
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|39|B|15
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|39|AM|15
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|39|A2|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|39|A1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|39|T|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|39|B1|15
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|39|B+E|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|39|A|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|40|B1|8
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|40|C+E|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|40|T|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|40|B+E|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|40|C1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|40|C1+E|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|40|B|8
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|40|C|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|40|AM|8
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|41|B1|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|41|AM|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|41|A1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|41|A2|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|41|B|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|42|B|5
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|42|AM|5
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|42|C|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|42|B1|5
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|42|C1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|43|B|10
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|43|B1|10
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|43|AM|10
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|44|B1|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|44|A1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|44|B|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|44|A|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|44|A2|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|44|AM|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|45|AM|12
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|45|B1|12
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|45|B|11
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|46|B|8
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|46|A2|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|46|A1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|46|B1|8
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|46|A|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|46|AM|8
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|47|A1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|47|B|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|47|B1|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|47|A2|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|47|A|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|47|AM|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|48|A|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|48|B1|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|48|AM|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|48|A1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|48|A2|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|48|B|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|49|B|7
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|49|AM|7
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|49|B1|7
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|50|B1|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|50|AM|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|50|B|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|51|B|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|51|AM|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|51|B1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|52|B1|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|52|AM|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|52|B|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|53|AM|5
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|53|B1|5
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|53|B|5
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|54|B1|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|54|AM|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|54|A|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|54|A1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|54|B|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|54|A2|1
